Site Name,URL,Inspection Time,Total Score,Grade,Error
UK_Quick_10,https://www.lg.com/uk/support/product-support/cs-OLED83M39LA.AVS/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/support/product-support/troubleshoot/help-library/cs-CT00008386-20154860355050/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/support/product-support/cs-43UH620V.AEK/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/support/product-support/troubleshoot/help-library/cs-CT00008333-20154858260175/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/support/product-support/cs-OLED55C45LA.AEK/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/support/product-support/cs-86UH5N-M.AEK/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/support/product-support/cs-GMX844MCKV.AMCQLGU/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/fridge-freezers/tall-fridge-freezers/gbm21hsadh/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/business/information-display/digital-signage/video-wall/55vl7f-a/,2026-05-14 17:13:54,,,
UK_Quick_10,https://www.lg.com/uk/tvs-soundbars/oled/oled55b46la/,2026-05-14 17:13:54,,,
